case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-487/21,2,0,0,0,,,0,,,,0.017939911070255398,7,0.012313254497267377
C-492/23,1,13,7,6,0.6357142857142858,1.0,1,0.7214285714285714,0.013656414452858635,0.02313723659639132,0.005361620540502952,0,-0.0
C-492/23,2,2,2,0,0.43333333333333335,0.0,0,0.7,0.016980426416237426,0.018056056536676027,0.005361620540502952,0,-0.0
C-492/23,3,3,0,3,,,0,,,,0.005361620540502952,0,-0.0
C-496/17,1,9,0,9,,,0,,,,0.03183833892711268,2,0.00012183972407442468
C-507/23,1,6,4,2,0.22916666666666663,0.0,0,0.625,0.015625583958533803,0.03530205830399602,0.006413347092294561,1,0.02031528373195879
C-507/23,2,4,2,2,0.29166666666666663,0.0,0,0.41666666666666663,0.021593417087389877,0.03530205830399602,0.006413347092294561,1,0.02031528373195879
C-507/23,3,5,3,2,0.3055555555555555,0.0,0,0.5,0.017872115441616227,0.03530205830399602,0.006413347092294561,1,0.02031528373195879
C-534/20,1,6,0,6,,,0,,,,0.014239662386760716,1,7.39595239279567e-19
C-579/21,1,1,1,0,0.8,1.0,1,0.4,0.04750151279707306,0.04750151279707306,0.017607771983562143,8,0.015490372407668058
C-579/21,2,3,3,0,0.7666666666666666,1.0,1,0.8333333333333334,0.055292344704101166,0.12140636894604184,0.017607771983562143,8,0.015490372407668058
C-579/21,3,0,0,0,,,0,,,,0.017607771983562143,8,0.015490372407668058
C-590/22,1,2,2,0,0.3333333333333333,0.0,0,0.5,0.022865785227032476,0.03530205830399602,0.007884775870783737,3,0.0452110825789588
C-590/22,2,4,4,0,0.3333333333333333,0.0,0,0.6,0.01878879438685406,0.03530205830399602,0.007884775870783737,3,0.0452110825789588
C-590/22,3,3,3,0,0.2888888888888889,0.0,0,0.4666666666666666,0.020545455583287926,0.03530205830399602,0.007884775870783737,3,0.0452110825789588
C-590/22,4,0,0,0,,,0,,,,0.007884775870783737,3,0.0452110825789588
C-597/19,1,6,0,6,,,0,,,,0.012556458875173504,3,0.006854262632820277
C-597/19,2,4,0,4,,,0,,,,0.012556458875173504,3,0.006854262632820277
C-597/19,3,12,0,12,,,0,,,,0.012556458875173504,3,0.006854262632820277
C-604/22,1,5,4,1,0.47916666666666663,0.0,1,0.6666666666666666,0.017810344631345593,0.02313723659639132,0.013128052124359621,7,0.007916139389144853
C-604/22,2,5,1,4,0.75,1.0,1,0.5,0.02313723659639132,0.02313723659639132,0.013128052124359621,7,0.007916139389144853
C-61/19,1,2,1,1,1.0,1.0,1,1.0,0.02937059759992612,0.02937059759992612,0.005361620540502952,0,-0.0
C-621/22,1,12,3,9,0.7083333333333334,1.0,1,0.9166666666666666,0.015146984051084273,0.023100926094618515,0.0073877997143860855,1,0.0005258863302977157
C-634/21,1,7,2,5,0.5833333333333333,1.0,0,0.8333333333333333,0.014041011115839084,0.017607771983562143,0.007358856154483392,2,0.0010643607503305736
C-638/23,1,4,4,0,0.5625,1.0,1,0.875,0.014165065108232053,0.02313723659639132,0.005665452655464972,1,0.0019716202602970837
C-645/19,1,3,1,2,0.8,1.0,1,1.0,0.12140636894604184,0.12140636894604184,0.04750151279707306,6,0.0016691918846981667
C-645/19,2,0,0,0,,,0,,,,0.04750151279707306,6,0.0016691918846981667
C-645/19,3,1,0,1,,,0,,,,0.04750151279707306,6,0.0016691918846981667
C-645/19,4,1,0,1,,,0,,,,0.04750151279707306,6,0.0016691918846981667
C-645/19,5,1,0,1,,,0,,,,0.04750151279707306,6,0.0016691918846981667
C-65/23,1,5,4,1,0.55,1.0,0,0.6,0.010810894137228442,0.015904796295798822,0.005361620540502952,0,-0.0
C-65/23,2,1,1,0,0.5,0.0,0,0.5,0.010426139035024604,0.010426139035024604,0.005361620540502952,0,-0.0
C-655/23,1,5,3,2,0.611111111111111,1.0,0,0.7777777777777777,0.0062992540689528476,0.0067722190567971585,0.005361620540502952,0,-0.0
C-655/23,2,5,5,0,0.25,0.0,0,0.6133333333333333,0.014109473652951343,0.03530205830399602,0.005361620540502952,0,-0.0
C-655/23,3,3,3,0,0.4444444444444444,0.0,0,0.5,0.016274133140101916,0.03530205830399602,0.005361620540502952,0,-0.0
C-655/23,4,2,2,0,0.5,0.0,0,0.5833333333333334,0.006760170558154863,0.007106994024015165,0.005361620540502952,0,-0.0
C-659/22,1,3,2,1,0.7083333333333333,1.0,1,0.75,0.06622115002303243,0.0894259145658621,0.0067722190567971585,2,0.008284540627375358
C-667/21,1,6,3,3,0.4305555555555555,0.0,1,0.8055555555555555,0.01775505231778472,0.023100926094618515,0.015904796295798822,9,0.10391041268830703
